id,title,location,salary_min,salary_max,description,category
A1023,"Principal Machine Learning Engineer","New York, NY",170000,220000,"10+ years ML experience, leadership role.","IT Jobs"
A1024,"IT Support Specialist","Phoenix, AZ",50000,65000,"Help desk, Windows, basic networking.","IT Jobs"
A1025,"Junior DevOps Technician","Boise, ID",65000,85000,"Linux, CI/CD basics, Docker optional.","IT Jobs"
A1026,"Big Data Engineer","Chicago, IL",125000,155000,"Hadoop, Spark, Hive, large-scale data systems.","IT Jobs"
A1027,"Full-Stack Engineer (Python/React)","Remote",115000,145000,"API development + frontend React experience.","IT Jobs"
A1028,"AI Product Manager","Los Angeles, CA",140000,170000,"Experience managing ML-driven products.","IT Jobs"
A1029,"Cloud Engineer (Azure)","Seattle, WA",120000,150000,"Azure DevOps, ARM, Terraform.","IT Jobs"
A1030,"RPA Automation Developer","Cleveland, OH",85000,110000,"UiPath automation experience preferred.","IT Jobs"
A1031,"Cybersecurity Analyst","Tampa, FL",90000,120000,"SOC monitoring, SIEM tools, threat detection.","IT Jobs"
A1032,"Senior NLP Scientist","Boston, MA",155000,190000,"Deep NLP, transformers, distributed training.","IT Jobs"
A1033,"Backend Node.js Engineer","Austin, TX",100000,130000,"Node microservices, SQL, Docker.","IT Jobs"
A1034,"Data Governance Analyst","New York, NY",105000,135000,"Data quality, cataloging, and compliance.","IT Jobs"
A1035,"AI Ethics Researcher","Washington, DC",115000,145000,"Research role on AI compliance and fairness.","IT Jobs"
A1036,"Junior SQL Developer","Kansas City, MO",65000,85000,"Write queries, build reports, maintain databases.","IT Jobs"
A1037,"Cloud SRE","Denver, CO",125000,155000,"Kubernetes, AWS, Terraform, monitoring systems.","IT Jobs"
A1038,"ETL Developer","Chicago, IL",95000,120000,"ETL pipelines, SQL, Informatica preferred.","IT Jobs"
A1039,"Computer Vision Engineer","San Jose, CA",135000,170000,"OpenCV, PyTorch, GPU optimization.","IT Jobs"
A1040,"API Integration Specialist","Miami, FL",85000,105000,"REST, SOAP, API integration workflows.","IT Jobs"
A1041,"Data Scientist - Finance","New York, NY",135000,165000,"Modeling market signals, Python, SQL.","IT Jobs"
A1042,"Entry-Level QA Tester","Remote",50000,65000,"Manual testing, documentation.","IT Jobs"
A1043,"ML Research Engineer","Pittsburgh, PA",130000,165000,"Deep learning, experiments, Python.","IT Jobs"
A1044,"Senior Cloud Platform Engineer","Seattle, WA",145000,180000,"AWS EKS, Terraform, distributed systems.","IT Jobs"
A1045,"Tech Support Analyst","Atlanta, GA",55000,70000,"Customer support, ticketing systems.","IT Jobs"
A1046,"Python Software Engineer","Los Angeles, CA",115000,145000,"REST APIs, Flask/Django, SQL.","IT Jobs"
A1047,"Machine Learning Intern","Remote",,,"Basic ML coursework, Python, Pandas.","IT Jobs"
A1048,"Principal Data Architect","San Francisco, CA",170000,210000,"Data modeling, pipelines, leadership.","IT Jobs"
A1049,"Java Spring Boot Engineer","Raleigh, NC",105000,135000,"Microservices, Java, AWS.","IT Jobs"
A1050,"Systems Analyst","Phoenix, AZ",85000,110000,"Requirements, workflow systems.","IT Jobs"
